City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Rakiv Lis,UA,2021-10-09 18:40:03,51.6217,24.9243,40.62,67,0,6.64
165,Longyearbyen,SJ,2021-10-09 18:36:48,78.2186,15.6401,19.24,73,20,9.22
166,Sherbakul,RU,2021-10-09 18:40:04,54.6316,72.3963,35.28,80,50,5.64
167,Karabuk,TR,2021-10-09 18:40:04,41.2049,32.6277,56.89,89,39,0.72
168,Bereda,ES,2021-10-09 18:40:05,43.2686,-7.5406,60.55,96,100,7.78
169,Aguimes,ES,2021-10-09 18:40:08,27.9054,-15.4461,72.23,71,20,23.02
170,Karoi,ZW,2021-10-09 18:40:08,-16.8099,29.6925,76.42,37,43,5.3
171,Westport,US,2021-10-09 18:40:08,41.1415,-73.3579,69.78,83,90,1.01
172,Yar-Sale,RU,2021-10-09 18:40:10,66.8333,70.8333,28.78,79,13,15.08
173,Luba,GQ,2021-10-09 18:40:11,3.4568,8.5547,73.29,89,100,7.25
174,Charlestown,AU,2021-10-09 18:40:12,-32.95,151.6667,67.41,65,70,1.99
175,Machilipatnam,IN,2021-10-09 18:40:19,16.1667,81.1333,80.46,83,80,5.46
176,Cayenne,GF,2021-10-09 18:40:19,4.9333,-52.3333,89.64,75,75,1.99
177,Kilindoni,TZ,2021-10-09 18:40:20,-7.9139,39.6668,77.9,79,1,14.47
178,Urengoy,RU,2021-10-09 18:40:21,65.9667,78.3667,28.31,72,100,13.2
179,Richards Bay,ZA,2021-10-09 18:40:22,-28.783,32.0377,69.12,74,100,17.52
180,Moshenskoye,RU,2021-10-09 18:40:28,58.5102,34.5911,43.86,77,100,5.59
181,Codrington,AU,2021-10-09 18:40:30,-38.2667,141.9667,50.54,49,96,10.45
182,Muros,ES,2021-10-09 18:37:19,42.7762,-9.0603,67.08,70,94,11.27
183,Tocantins,BR,2021-10-09 18:40:31,-10.5,-48.0,100.65,18,34,10.04
184,Skjervoy,NO,2021-10-09 18:40:31,70.0311,20.9714,48.33,82,100,13.42
185,Vilcun,CL,2021-10-09 18:40:32,-38.65,-72.2333,68.74,47,0,5.17
186,Nikita,UA,2021-10-09 18:40:32,44.5333,34.2333,44.73,76,44,1.68
187,Santa Isabel Do Rio Negro,BR,2021-10-09 18:40:33,-0.4139,-65.0192,93.63,45,97,2.8
188,Kocevje,SI,2021-10-09 18:40:33,45.6433,14.8633,50.92,72,76,11.25
189,Ponta Do Sol,PT,2021-10-09 18:37:07,32.6667,-17.1,74.12,49,17,4.47
190,Chernyakhiv,UA,2021-10-09 18:40:34,50.4565,28.6702,38.5,57,72,7.38
191,Bara,NG,2021-10-09 18:40:39,10.3744,10.7288,82.9,47,97,3.33
192,Goderich,CA,2021-10-09 18:40:39,43.7501,-81.7165,72.03,88,19,3.44
193,Mitu,CO,2021-10-09 18:40:40,1.1983,-70.1733,85.39,77,80,0.96
194,Mahebourg,MU,2021-10-09 18:40:47,-20.4081,57.7,72.25,78,19,18.28
195,Urubicha,BO,2021-10-09 18:40:47,-15.3833,-62.95,93.85,41,86,4.94
196,Chopinzinho,BR,2021-10-09 18:40:48,-25.8558,-52.5233,62.31,97,100,7.09
197,Tonantins,BR,2021-10-09 18:40:48,-2.8731,-67.8022,92.68,46,100,2.55
198,Coquimbo,CL,2021-10-09 18:40:49,-29.9533,-71.3436,62.33,59,20,13.8
